id,value,feed_id,created_at,lat,lon,ele
0DK25K98QTEHAWX3F1G03ACMED,863,676092,2017-05-15 21:02:47 UTC,,,
0DK25KCABPN9R4FJACW6J8D3RD,861,676092,2017-05-15 21:02:57 UTC,,,
0DK25KFC0MBQJ0TWNT4WRZ55Q0,859,676092,2017-05-15 21:03:07 UTC,,,
0DK25KJDQ3NYVY58KQJ36KZBXQ,861,676092,2017-05-15 21:03:17 UTC,,,
0DK25KNFAKQ3CEFEAY152Q056R,859,676092,2017-05-15 21:03:27 UTC,,,
0DK25KRGZZ4MJPS2DB3XX9KCGQ,864,676092,2017-05-15 21:03:37 UTC,,,
0DK25KVJMJKPF0PW8XC5GBDTCG,856,676092,2017-05-15 21:03:47 UTC,,,
0DK25KYM9SR9ADWPT6NXPZCFT2,862,676092,2017-05-15 21:03:57 UTC,,,
0DK25M1NYGPY02XHPMN1EJJBP3,859,676092,2017-05-15 21:04:07 UTC,,,
0DK25M4QN2XCC4Y8DPTN56TAZA,859,676092,2017-05-15 21:04:17 UTC,,,
0DK25M7S9FJWAJ6VZP5JM42JFZ,863,676092,2017-05-15 21:04:27 UTC,,,
0DK25MATXRAM0ZC9ZW134V416W,859,676092,2017-05-15 21:04:37 UTC,,,
